City,MCC,MNC,LAC,CID,BSC,BSIC,ARFCN,BAND,F_DL (MHz),RXLEV (dBm),RXQUAL,SNR (dB),UL Speed (kbps),DL Speed (kbps),Latitude,Longitude,Speed (m/s),Height (m),Connection Type
Bengaluru,405,871,2095,74638,38,2,46,2100 MHz,953.0028441647940,-67,3,27.553870337312100,858,677,12.951831006571600,77.50691402126040,6.489519408305600,145.96768302059400,Data
Bengaluru,405,868,5369,99112,37,2,71,1800 MHz,950.4841560999240,-74,4,0.9612178411102610,401,1269,13.010655089955600,77.67465752071910,13.142220561039200,227.29688851337200,Data
Bengaluru,405,874,2890,74585,14,46,117,900 MHz,944.7588343155420,-61,4,7.2119549033320600,587,429,13.03025205019390,77.67452593380720,9.463847803696910,91.69985436796670,Voice
Bengaluru,405,865,9209,46684,17,33,33,1800 MHz,946.0254877971950,-96,5,14.278158505738600,509,1861,12.902146771998000,77.50280574893960,13.775916499076400,156.51629284745500,Data
Bengaluru,405,873,3175,89349,20,28,30,2100 MHz,948.0616738749600,-57,3,22.581673548566400,323,776,13.004965956098100,77.520669675007,7.52850653875498,83.92275939176550,Data
Bengaluru,405,871,4395,67520,36,61,90,2100 MHz,959.0781698488260,-102,3,24.196851625020300,806,210,12.948131783186400,77.57262634688300,6.852827099380050,90.10835617533620,WiFi
Bengaluru,405,873,8771,99926,26,45,31,900 MHz,952.6215537377790,-69,0,20.545707423146400,693,1233,12.949873668697300,77.61214138448910,1.9637462015916100,18.929365257668100,Voice
Bengaluru,405,874,5658,89033,27,14,9,1800 MHz,935.084076815509,-77,5,12.053558403920000,470,365,13.02700621073760,77.62776007071410,16.920627523346000,148.8225455813500,Data
Bengaluru,405,871,4403,56453,18,35,115,1800 MHz,944.4089055158620,-89,2,9.317501948574500,865,447,12.93301282534100,77.58928318499240,6.134248078945570,139.84476540912100,Voice
Bengaluru,405,872,6386,38824,48,6,111,1800 MHz,935.6644806350620,-57,3,28.841259092808500,152,640,12.976099097520600,77.68427404211600,17.609337652195500,47.19809647705820,Voice
Bengaluru,405,866,7890,65084,10,2,72,2100 MHz,949.8104846203780,-105,4,8.988953888292610,388,1855,12.880858325750200,77.52100087852090,12.748711379329300,259.51757797494700,WiFi
Bengaluru,405,874,9991,23321,16,33,19,1800 MHz,936.17051676839,-79,5,3.0311249664509700,243,852,12.951810635270200,77.63013085888500,2.631291774425180,157.33864175456100,Voice
Bengaluru,405,863,5138,34263,40,30,123,2100 MHz,959.2476483837310,-53,5,0.7962446221992560,93,879,12.897153165385400,77.61522204219600,15.978289217590600,175.08925336195100,Data
Bengaluru,405,868,2722,57354,43,21,113,900 MHz,937.1616157129970,-91,3,8.04379471981537,816,975,13.028553656712600,77.5348545715768,3.9162657024590200,183.34712094351600,WiFi
Bengaluru,405,868,1987,41508,24,46,46,2100 MHz,959.0742174838760,-88,5,21.46504596281110,402,852,13.065729945543000,77.60373454128630,12.821819585485400,87.79714182357830,Data
Bengaluru,405,863,9488,14101,40,35,64,900 MHz,951.2691383748080,-94,4,28.121375758732300,502,147,12.987661279255400,77.55393847404390,12.223587563531700,51.16627356918990,Data
Bengaluru,405,867,9003,80303,28,48,49,2100 MHz,949.3491820679870,-95,2,24.491614153611500,352,644,13.00059390985690,77.64346253439400,8.279355873379210,28.127495833099300,Voice
Bengaluru,405,866,7472,75422,44,16,41,900 MHz,950.9377315966000,-54,1,11.344258332376100,535,728,12.949501903492200,77.55934000938630,6.745776129585090,197.568745555314,Data
Bengaluru,405,863,2177,91622,35,30,102,900 MHz,958.782407658762,-105,4,28.914021336251300,996,1574,13.037337850933400,77.54376911097810,7.916020653494560,211.44491836874600,Data
Bengaluru,405,863,6705,77637,16,18,58,1800 MHz,944.5755386224820,-62,4,27.782105231523700,466,217,12.920177972440300,77.68104808167190,16.278618977292000,271.0321268971310,Data
Bengaluru,405,873,3809,75059,12,59,102,2100 MHz,951.6574952460570,-104,5,7.424630673700310,425,1874,12.996339568412400,77.64128215881430,4.061578879092330,205.39533737109100,Data
Bengaluru,405,873,4006,92996,25,39,122,2100 MHz,954.6266398945290,-58,0,27.55728044480810,473,936,12.874327920058200,77.5988215288374,3.232772465926250,180.18859879142800,Data
Bengaluru,405,866,8883,79401,34,5,61,1800 MHz,938.9713409890070,-109,0,4.623883840940670,265,208,12.94775848045580,77.65581831063740,12.420222696101900,224.05794503235300,Data
Bengaluru,405,873,5941,52470,20,24,96,1800 MHz,939.4146082928400,-100,3,22.00153678406370,777,847,13.021607306277800,77.62536143809980,2.819369680558550,257.98720518311300,Voice
Bengaluru,405,872,5127,81769,42,26,80,1800 MHz,950.9488410880300,-52,3,2.8409397117373300,702,484,12.988756876739700,77.65528288296890,14.899211548322300,104.60352264589900,Voice
Bengaluru,405,874,4175,32320,37,9,57,900 MHz,943.2092752273230,-67,5,24.67073288871970,334,1068,12.975245432772100,77.50590505340860,3.9549934604992100,54.383929856368500,Data
Bengaluru,405,864,6763,23141,17,4,40,2100 MHz,950.8272338093510,-66,6,24.998097629212500,395,1940,13.052635700079200,77.50501950379400,0.6583506792060120,160.58879004035100,Data
Bengaluru,405,863,1990,58163,49,27,82,900 MHz,942.9919250991240,-51,3,20.644396125541200,679,819,13.002170385903900,77.59865127852590,16.21382057028290,109.24699938105300,Voice
Bengaluru,405,866,5439,73588,13,16,38,1800 MHz,959.9228596230780,-66,1,10.8425676199301,491,1173,12.878089071114200,77.49996825263400,5.0430229179388100,242.79436092500700,Voice
Bengaluru,405,869,8440,54431,35,43,46,900 MHz,950.413519776652,-58,1,3.7181070364952700,742,1776,12.97681559013260,77.54435618835490,8.8048555845526,88.19524559096000,Voice
Bengaluru,405,872,4919,51569,29,52,26,900 MHz,959.9423779592630,-74,1,21.079346420953900,109,384,12.920090280766500,77.58007115084340,9.380024663567830,103.85347230542300,Data
Bengaluru,405,865,4335,16584,17,12,65,2100 MHz,959.2314518490150,-105,2,2.7945319490322000,917,1686,12.891274455851500,77.60644339903600,12.91452396930090,106.04374690499600,WiFi
Bengaluru,405,867,9448,63149,33,30,33,900 MHz,951.0205201854930,-82,3,5.136645092033230,899,1234,12.951688268635400,77.68916861810560,13.624752814063500,184.82059442599200,WiFi
Bengaluru,405,871,1102,38133,45,37,53,1800 MHz,946.4504450917610,-91,4,25.608976923509700,302,361,13.035095813071300,77.68625784355880,11.610747329266700,288.65617329377700,Data
Bengaluru,405,869,8691,33708,17,7,49,1800 MHz,958.7959651511420,-56,3,0.8029496745412750,917,973,12.882178140884700,77.56343634258940,19.288152656778100,59.35920048241290,Data
Bengaluru,405,869,3053,39711,23,59,23,900 MHz,945.9140294306930,-74,0,5.855996922589590,454,1607,13.032606181855300,77.65359495861360,6.7587839358849300,119.89759670232400,WiFi
Bengaluru,405,868,1502,59869,44,61,42,1800 MHz,951.6026396379540,-68,1,20.339582415256600,533,1851,12.93692066702860,77.55636612072220,17.30815781533670,137.96418987166600,Voice
Bengaluru,405,863,1075,85470,12,10,81,2100 MHz,948.9125691175010,-85,0,26.025469337766100,221,1534,13.06217504755020,77.6751603337947,14.321767771917800,176.98492085161800,Data
Chennai,405,872,6060,24311,7,54,55,900 MHz,944.5111180042210,-106,7,19.72,416,712,26.286045,90.88614,14.696170224251800,322.68480927165000,Data
Chennai,405,864,5701,77963,43,4,13,900 MHz,958.1335639516230,-80,4,22.01,187,566,9.67306,96.924563,9.440755158349500,423.64719052992300,Data
Chennai,405,864,7204,82167,12,40,3,1800 MHz,948.2777090995850,-100,3,19.79,454,663,13.789893,93.545031,9.191646806697330,109.59851108195600,Data
Chennai,405,864,6058,86867,22,44,96,1800 MHz,940.7316127019540,-78,4,29.05,267,344,10.533237,81.169994,7.827669590809070,123.1452699567400,Data
Chennai,405,868,1273,28693,38,55,69,900 MHz,936.173870260728,-75,1,9.18,185,1238,14.228387,79.604224,18.487088185858800,290.7856740140650,WiFi
Chennai,405,872,6174,67375,40,40,124,1800 MHz,941.5912764031220,-62,0,14.32,331,929,33.085797,70.94031,2.268145395336590,288.25209164832300,Data
Chennai,405,872,2655,77751,1,31,69,1800 MHz,950.4810528423110,-103,1,8.27,83,1734,19.102853,70.971484,11.291276412969300,23.71973174956570,WiFi
Chennai,405,864,2976,29823,46,53,75,1800 MHz,939.1095085721380,-64,7,18.51,190,1184,26.734969,84.194452,10.431924727754600,425.7259902625800,WiFi
Chennai,405,872,3594,40162,42,20,25,900 MHz,956.9138270924570,-69,1,11.1,219,1278,16.8672,75.149466,19.247285355953700,289.4194533858280,Data
Chennai,405,874,5285,44430,29,56,73,900 MHz,959.8736220314810,-73,6,26.58,287,679,30.661335,90.884502,2.238608593476260,52.65005517256880,WiFi
Chennai,405,864,6771,62029,8,26,28,1800 MHz,951.0488885384260,-97,5,20.36,421,1881,20.416749,74.154285,0.0575020005511106,440.7726560443470,Data
Chennai,405,872,5974,73372,21,58,54,900 MHz,944.0290049761490,-65,5,14.96,223,1369,19.747657,96.533913,14.477653622976100,318.8784230367430,Data
Chennai,405,872,4988,64463,31,41,100,1800 MHz,956.6816579881400,-110,1,5.18,181,894,29.102773,82.599911,9.13070634476142,53.13919747656830,WiFi
Chennai,405,864,8499,64627,33,7,41,900 MHz,940.78123900849,-62,5,22.08,376,1960,32.111565,76.645047,11.527383942123500,494.3301935808120,WiFi
Chennai,405,874,4502,64138,21,11,124,900 MHz,938.3999197424560,-82,4,11.79,55,1593,15.591866,95.234089,12.127569609974100,336.0860206930430,Data
Chennai,405,864,1533,50852,37,32,9,1800 MHz,935.8409184737590,-69,0,20.63,167,1307,30.435036,83.663225,15.751744377012100,156.52890221860700,Data
Chennai,405,872,5257,44628,34,15,36,1800 MHz,948.348397309028,-72,1,12.7,440,1104,36.483468,95.604262,13.4685759070772,31.0819630713583,WiFi
Chennai,405,864,1730,71980,11,9,73,900 MHz,939.2695839828620,-104,2,22.06,328,1592,20.220569,87.397837,3.354986395941650,261.33359647395400,Data
Chennai,405,872,2594,91063,14,51,18,900 MHz,940.024832859708,-89,7,10.5,61,1297,34.004837,90.074321,12.624126090007600,204.7120435850640,Data
Chennai,405,868,1939,79045,9,32,45,1800 MHz,951.9806731140240,-78,3,16.37,219,531,24.586098,95.53334,14.5306224427541,422.26623866695800,WiFi
Chennai,405,872,8956,97827,3,12,92,900 MHz,949.2730528082450,-90,5,12.55,202,1011,23.89453,72.571647,7.369829638021760,50.585315083737900,Data
Chennai,405,864,1670,49017,35,43,83,900 MHz,953.483197777436,-105,2,12.49,205,1764,36.644188,73.215319,9.685411097351770,296.15315670808500,Data
Chennai,405,864,2065,21773,11,59,65,900 MHz,936.2619366747070,-68,3,25.02,220,1551,16.162573,80.732464,4.943435722724700,247.6496109139310,WiFi
Chennai,405,864,5377,33607,2,5,120,900 MHz,937.8412843012140,-102,5,14.76,339,711,20.829884,73.896308,19.594702115302900,250.0504716213860,WiFi
Chennai,405,868,2049,54744,31,14,120,900 MHz,958.57279788069,-81,2,14.26,145,1148,27.363847,75.3168,17.10605385707640,313.07775631434800,Data
Chennai,405,868,4100,80656,29,6,34,900 MHz,937.5203791164170,-108,0,23.3,314,1347,8.917207,88.474254,17.034940392985300,488.75413088766900,WiFi
Chennai,405,868,3097,86562,9,44,63,900 MHz,943.5947576135760,-98,4,26.44,440,1696,9.311347,78.912596,0.0059921715445998,182.4168329003090,WiFi
Chennai,405,864,9293,26273,6,59,123,1800 MHz,938.4403590476370,-78,4,5.92,477,677,23.968048,70.660602,14.14805691297980,380.886243584152,Data
Chennai,405,874,3729,29779,34,27,72,1800 MHz,949.8042258077530,-81,2,8.09,414,965,35.586949,68.365279,19.06379113476920,358.24591202450100,WiFi
Chennai,405,868,4491,95481,36,28,79,1800 MHz,957.6148303931690,-71,5,5.54,336,1254,30.834399,86.366329,7.96394338099315,322.4903858141480,Data
Chennai,405,868,2532,30527,12,17,44,1800 MHz,942.4044164330190,-87,0,12.16,316,1328,31.796857,78.908451,15.75191690710120,379.6240104538620,WiFi
Chennai,405,868,4999,44713,25,8,114,900 MHz,949.9339328104610,-97,0,10.01,331,1970,33.696152,78.426838,3.262337337381300,401.84572465622300,WiFi
Chennai,405,872,6700,25743,16,36,43,1800 MHz,948.8787773264000,-64,0,19.04,355,1528,22.209687,84.735803,17.163942739783100,204.2428504027580,Data
Chennai,405,868,9149,17043,2,41,30,900 MHz,943.3839228215460,-91,0,16.82,206,639,18.237643,91.702929,17.960848516189300,17.14893806896380,WiFi
Chennai,405,864,2980,96983,4,25,105,1800 MHz,939.0095713004650,-96,5,5.79,242,1826,26.106967,94.29684,6.576419080217060,435.7989640135370,WiFi
Chennai,405,868,9841,37408,32,1,95,900 MHz,951.971713159167,-76,4,8.07,335,1503,22.341593,68.67389,4.970303920741200,200.47115170794000,Data
Chennai,405,872,5880,56352,19,29,73,1800 MHz,951.115877677561,-80,4,10.51,263,1157,13.698763,70.386404,4.82820911048357,138.85796474531800,Data
Chennai,405,868,8868,57999,32,35,95,1800 MHz,949.7594029419580,-76,3,9.19,470,339,32.185735,76.052899,8.020752686693850,124.34509817836300,WiFi
Chennai,405,874,4318,39605,6,44,59,1800 MHz,942.5082060626400,-74,2,28.78,329,748,35.312481,96.348562,11.894518885339200,236.07504105178500,Data
Chennai,405,868,1397,87538,1,26,11,1800 MHz,939.022631167384,-77,4,9.61,209,1677,27.539979,71.745497,18.93909408666270,211.50701484601000,WiFi
Chennai,405,868,2259,12613,32,59,67,900 MHz,949.8177459830860,-103,3,10.63,73,1990,14.234349,88.409249,3.99562471724126,159.81427379699100,WiFi
Chennai,405,872,4739,15295,21,58,97,1800 MHz,950.7586427548630,-87,6,8.52,396,590,21.147618,72.001339,12.280428859867400,24.21194082474230,Data
Chennai,405,868,6148,74013,15,11,35,1800 MHz,935.4886345595590,-82,7,19.6,478,1518,36.008219,88.593478,15.150209111306100,198.9976440282240,WiFi
Chennai,405,872,5340,76596,23,51,84,900 MHz,949.8300069725210,-60,2,9.78,289,583,16.924746,77.742991,15.097190538900700,478.1746964403980,Data
Chennai,405,868,4845,20455,33,2,38,1800 MHz,959.8247750346030,-99,3,12.11,497,1801,19.15043,89.660491,2.4633285133978300,162.5555938757520,Data
Chennai,405,864,1396,89817,41,41,10,900 MHz,950.2950193275250,-103,3,21.84,284,1791,24.30848,96.730072,13.991845537289200,241.9415631863690,WiFi
Chennai,405,868,6095,33197,2,55,17,900 MHz,942.9687104801840,-97,4,9.58,93,1910,11.432232,88.741234,12.080005941403200,483.9925152458250,Data
Chennai,405,868,3976,27952,5,34,54,900 MHz,958.2935210933990,-77,1,10.86,388,754,33.531217,84.910382,4.070374846770270,478.8297628939150,WiFi
Chennai,405,874,1626,19991,10,21,76,1800 MHz,952.8101682111590,-93,3,8.93,260,1307,35.242828,85.728024,19.318370689415200,94.00992145543320,WiFi
Chennai,405,872,7586,68105,36,55,78,1800 MHz,935.6210828645060,-100,5,26.62,208,702,17.817538,94.969804,11.733001872718000,388.5076491766950,WiFi
Chennai,405,872,7419,75097,7,14,52,1800 MHz,957.012095795574,-103,7,18.1,454,1693,19.334124,80.730433,10.784177904009100,167.96100785991000,WiFi
Chennai,405,868,5102,65281,3,50,47,900 MHz,948.593075141332,-105,1,11.31,227,929,34.960683,80.759624,9.5743561488417,327.94154596383800,Data
Chennai,405,874,7535,68198,21,23,31,2100 MHz,942.9330225667380,-82,4,4.3378217465602,296,1223,13.132470684929800,80.2600816573822,10.979437107601000,294.711120208834,Voice
Chennai,405,866,4124,79375,41,6,66,2100 MHz,937.5636539139020,-60,0,25.129946052900100,209,824,13.107581709127100,80.29646490134780,13.894208194988800,78.53008093141030,Data
Chennai,405,868,1449,96432,45,9,121,900 MHz,938.1074422063740,-69,2,26.415794104722500,244,362,13.09543445106590,80.27349795180570,10.271482202869200,167.05746029308000,Voice
Chennai,405,866,6472,70649,10,5,106,900 MHz,949.3805240596370,-76,3,29.316600687238300,802,1799,13.040233348881300,80.22803023197990,14.324967312895000,4.0279694636322700,WiFi
Chennai,405,871,9122,32245,46,38,77,2100 MHz,955.6295790089100,-57,6,12.747417199436700,262,1976,13.096979667813400,80.20661413041320,7.007224650783020,38.72994890922710,WiFi
Chennai,405,865,8648,19786,20,20,70,2100 MHz,941.8140656940260,-70,1,17.14110204593600,770,1392,13.178920208009200,80.299207143215,10.382735043978900,236.79438910577200,Data
Chennai,405,866,2221,97289,46,6,5,1800 MHz,937.7113692518110,-81,2,12.75474485106160,527,691,13.030934935253100,80.25061335894210,8.28210330335287,224.92643602922500,Data
Chennai,405,868,9570,78408,15,8,44,1800 MHz,952.2935576605760,-56,3,25.99206295601980,829,296,13.031196161753800,80.33950435473060,8.062144856951210,106.8036578148900,WiFi
Chennai,405,867,1819,40436,25,39,108,900 MHz,937.9471999997350,-59,3,12.380192503585500,673,1039,13.056040563976400,80.23436939696440,1.169435279027210,95.20360152240250,Data
Chennai,405,860,4978,94031,42,49,12,900 MHz,938.2242146178220,-100,0,29.947237642904400,880,902,13.156098497771200,80.29302421419700,6.64175484126879,81.07806700543820,Voice
Chennai,405,864,9990,70439,35,48,91,900 MHz,954.8770123223500,-51,0,5.470876532250970,783,453,13.088305878713100,80.20110552741470,0.19707823416811800,214.2448373539670,WiFi
Chennai,405,869,5759,42915,43,25,75,1800 MHz,936.730736167672,-75,3,5.209072354214950,479,1851,13.0484649528721,80.20289651045960,4.91148830175101,219.80709742152900,Data
Chennai,405,873,7107,95119,13,51,32,2100 MHz,953.5083052586420,-64,0,15.743186759439700,981,516,13.123082294431400,80.35481744722620,2.3377996276029500,89.64730797701830,Voice
Chennai,405,864,1811,84012,15,22,19,1800 MHz,949.8182172936600,-104,0,23.16957655926970,713,1155,13.176322295510200,80.25620290018910,3.5988250664725900,219.2604090263380,Data
Chennai,405,872,6853,38067,31,41,113,2100 MHz,935.6006040302620,-60,0,18.396459002055000,56,1031,13.150352644429300,80.29059993303440,11.849439258802200,201.07688518847300,Voice
Chennai,405,860,1248,55470,14,12,64,1800 MHz,951.4155610193870,-90,1,10.443177199854800,817,403,13.01293491279200,80.24322213885630,4.885434225388670,193.3915665432680,WiFi
Chennai,405,872,2504,58349,48,1,81,2100 MHz,942.7941885289960,-106,6,12.70013631250880,944,669,13.164717731389700,80.32887115043450,18.504797968870400,106.94832404608400,Data
Chennai,405,873,9114,34144,11,62,16,900 MHz,952.2579095057840,-74,0,21.898601112259100,536,871,13.035785740911500,80.33200214053330,9.956097492236400,37.63134081733980,WiFi
Chennai,405,865,1844,85231,35,28,108,900 MHz,941.1834978251950,-55,3,2.3595451847494800,469,1549,13.044882335060100,80.22027698946590,6.367728481117860,210.02747219913200,WiFi
Chennai,405,872,2244,95894,30,13,68,2100 MHz,950.420421798514,-94,1,26.17753394953140,433,1049,12.999967329526900,80.26897951601780,1.7029578001188400,132.96590134163800,Data
Chennai,405,869,5993,56587,49,19,106,900 MHz,948.6757571551470,-60,1,0.5997409070004290,817,1517,13.072909107780800,80.17776667806380,13.13762182976570,77.2140986898603,WiFi
Chennai,405,860,5236,39192,21,4,14,1800 MHz,937.8603447915980,-75,6,6.261486567668230,198,1254,12.98646430429480,80.19923495793990,8.42809284356488,212.0351470221200,Data
Chennai,405,862,8964,49204,22,6,8,1800 MHz,945.3673498975800,-70,4,21.90366391097410,118,1435,13.04128722564890,80.34623165314460,12.67108576274270,122.55712329178800,Voice
Chennai,405,863,8083,15281,27,32,72,1800 MHz,950.2436910859150,-87,6,5.265732818360750,362,1766,13.00722371073230,80.259913610113,14.013920168477900,197.20954202706100,WiFi
Chennai,405,873,6307,30413,49,7,96,1800 MHz,954.8585208710960,-60,3,2.171827729032800,842,266,13.11449709287730,80.3380403721741,1.1940592904920800,167.63560006697400,WiFi
Chennai,405,866,9165,87902,19,45,40,2100 MHz,948.5790091172160,-51,0,2.2826271694074300,780,724,13.104436787661700,80.3059036419874,17.129779430150800,204.90655089610700,Voice
Chennai,405,861,8933,14693,25,24,80,2100 MHz,939.7654016797300,-97,2,9.484789273659740,169,1825,13.096863280518100,80.22710082068800,11.613027549241100,10.804020039707300,Voice
Chennai,405,871,5766,91388,21,35,38,1800 MHz,952.5835598056230,-65,3,6.760776882840210,721,161,13.171057730479100,80.18695601078490,15.89139770447570,93.61196266798700,Voice
Chennai,405,865,5143,23981,15,4,55,900 MHz,950.0058374603620,-109,6,11.732494338579900,579,1369,13.14621126648260,80.31558641567360,0.4323393514212540,190.78417677203500,Voice
Chennai,405,873,3768,68180,42,56,60,1800 MHz,951.5287494348060,-71,4,18.848297805998900,788,1397,13.07161174635630,80.31110011721560,18.883300118621200,217.46922863204500,Voice
Chennai,405,872,7827,20312,36,48,4,2100 MHz,953.6254350518850,-100,3,28.355754755535200,544,1600,13.16550033131970,80.24027756806870,11.005877245567700,38.57168218117200,Voice
Chennai,405,866,1466,93626,31,21,82,2100 MHz,940.5867049618160,-65,2,14.080223861509400,692,215,13.064144851441400,80.30821408817910,3.4021159201433200,65.16932532978770,Data
Chennai,405,862,1850,65560,37,48,64,2100 MHz,955.4875072555390,-83,1,12.126340941727500,562,919,13.159242488238300,80.27640617540310,18.675427613308500,233.18504950299600,WiFi
Chennai,405,867,5383,98103,34,45,70,900 MHz,947.4889140861130,-87,3,15.892968455877100,191,438,12.987632132028400,80.27567442631560,1.8138627417607900,189.0660585610070,Voice
Chennai,405,860,6033,99829,49,53,88,1800 MHz,949.401072439524,-83,2,19.171992339257200,946,943,13.086863301816200,80.34920219802570,11.65857444606430,204.52986464576500,Voice
Chennai,405,863,2121,86225,34,25,47,2100 MHz,943.3043935297480,-99,0,4.159118497429280,696,628,13.11894963566600,80.22392110183600,18.352609322725900,239.62681775727700,WiFi
Chennai,405,868,9806,20573,20,33,2,900 MHz,958.6113747134580,-91,6,22.755126666782100,910,1693,13.081440156276900,80.31633753893790,8.189653774324130,124.6147894142670,WiFi
Chennai,405,874,7108,79355,22,3,85,2100 MHz,940.2336256901640,-83,4,14.749757605221900,578,523,13.126379016707200,80.27329746516660,13.784510326098600,71.88824456283670,Voice
Chennai,405,871,9383,92383,22,61,30,1800 MHz,938.9922371899670,-63,6,17.87859730170360,279,1969,13.140095717496100,80.31883400485650,19.571527859528100,99.75064464429420,Data
Chennai,405,869,3851,35482,12,4,75,2100 MHz,946.114786920096,-108,6,8.340896280864770,525,1304,13.145114887381800,80.28962315851370,8.875348660291310,97.78220478344390,WiFi
Chennai,405,866,5121,50690,34,53,13,900 MHz,950.2617104253960,-70,5,25.65035160569260,129,432,13.105451004571300,80.18151098085560,15.478122317483800,188.61417399232700,Voice
Chennai,405,870,9823,75006,30,62,93,2100 MHz,945.9984696292810,-76,1,12.632813500483200,873,290,13.095290108284600,80.32624582319300,12.159109863387600,27.46335978483190,Data
Chennai,405,871,3349,69503,36,10,90,900 MHz,954.8649213861310,-66,4,4.7888450998829400,517,1442,12.984080778870900,80.32033560135980,1.6518946996342600,5.720922921993000,Data
Chennai,405,864,8590,20148,35,52,71,1800 MHz,957.5077290958230,-106,6,19.30298776191340,911,507,13.12976410325400,80.20929338324850,12.681615105659500,205.17591196665300,Voice
Chennai,405,861,6558,96794,13,35,118,1800 MHz,939.6061495813230,-54,2,8.683131036163020,839,1286,13.150806149818700,80.27615812532780,10.638249698028600,222.31669216379100,Voice
Chennai,405,866,7082,52439,40,50,22,2100 MHz,940.573674989228,-96,5,28.818952418493300,988,713,13.134690680822700,80.22343887775220,8.751237400574030,264.54659986909,Voice
Chennai,405,865,3671,56589,29,53,47,1800 MHz,947.3600827896560,-97,3,23.552151424364900,912,1104,12.98591019473560,80.1981673626284,12.626534281020000,230.87241602230700,Voice
Chennai,405,871,2845,78647,42,18,105,900 MHz,948.2107765196570,-59,2,15.059584836080400,832,1406,13.042020366840100,80.27885027885930,11.024250138305900,112.95986758973900,Voice
Chennai,405,863,3948,33415,43,50,90,2100 MHz,958.1819810507160,-99,6,4.389020424290500,965,1466,13.10919936200360,80.29505341378040,4.315929643143080,158.2417251984690,Voice
Chennai,405,866,1628,58586,40,45,11,1800 MHz,956.7233341786890,-78,2,26.67459122209420,550,1875,13.173870940831400,80.30199188127740,16.090435336077600,82.91608285185260,Data
Chennai,405,874,5932,86972,26,7,116,900 MHz,957.3974274067170,-104,0,7.19591452625785,89,1237,13.075503647578400,80.31900975409810,14.58779360728240,197.11791920665700,WiFi
Chennai,405,870,6072,20486,48,40,122,900 MHz,954.0669674538060,-58,3,21.816473475582900,547,1976,13.078048563684400,80.21370333828980,11.591032700028100,125.64171072632400,Voice
Chennai,405,870,8788,51496,11,18,110,900 MHz,935.6077247326860,-98,5,0.29637231954617400,387,1642,13.07287626004250,80.34261022700950,1.5145708007675100,234.82616934945100,Data
Delhi,405,864,8369,42948,20,52,47,900 MHz,952.340192478846,-86,4,13.52,458,1721,13.150149,72.873965,2.786434489642660,31.748610334888800,Data
Delhi,405,872,5080,26420,35,20,121,900 MHz,950.8052568454250,-83,1,20.75,426,1728,35.536952,82.359823,4.513448497766760,219.8921995953530,Data
Delhi,405,864,3583,18391,16,11,21,900 MHz,951.6659388304330,-92,1,14.52,421,543,34.100045,84.805693,2.650271990392320,395.6836607946110,Data
Delhi,405,872,2660,46491,36,44,66,900 MHz,942.2164022522930,-85,4,18.89,257,1059,17.595566,72.674749,13.378694395377700,191.592558292062,Data
Delhi,405,868,9660,56713,27,63,12,1800 MHz,938.338361010247,-108,6,17.62,143,993,19.676465,96.220506,17.357198424300400,74.5113648125627,Data
Delhi,405,872,2526,89807,46,38,40,1800 MHz,942.3718973948390,-84,2,25.15,327,411,35.260208,89.171385,9.396666406376600,336.7848514244120,WiFi
Delhi,405,864,6382,80476,20,30,62,900 MHz,958.1107038321880,-91,4,8.08,233,236,12.324629,91.98117,2.9277575605649800,299.08053037213100,Data
Delhi,405,874,5870,14806,50,57,58,900 MHz,952.6166661043370,-89,4,9.12,303,834,21.411651,96.932307,12.866426350518200,9.15064076105926,WiFi
Delhi,405,872,5218,10055,27,14,17,1800 MHz,949.986846987877,-103,0,8.86,212,1051,13.288144,69.038105,12.55782740190470,209.72066769075500,Data
Delhi,405,874,6804,30177,20,12,40,900 MHz,948.29724446898,-77,6,10.4,278,498,18.985338,83.876048,13.829783058620300,156.20684015662700,WiFi
Delhi,405,872,6889,97657,26,42,2,1800 MHz,945.6131453102710,-98,6,13.62,357,1275,22.315012,92.205803,6.286275925002150,124.07760295755300,WiFi
Delhi,405,864,1052,85988,48,59,22,1800 MHz,941.329674836154,-102,4,22.08,124,982,31.291929,96.937082,16.362948343261300,202.38040103123500,Data
Delhi,405,868,1960,52248,46,33,78,900 MHz,956.3527498318430,-98,1,22.52,495,1832,23.592424,72.823931,12.938086663323700,72.29619810367520,Data
Delhi,405,872,4584,75886,23,13,49,900 MHz,952.2159908592750,-103,4,22.56,96,1416,14.589479,69.0128,3.573744395140520,269.78323927211900,Data
Delhi,405,864,2581,31624,28,0,50,1800 MHz,947.5764590322760,-73,3,29.28,230,1115,17.126194,74.935052,19.70105096425730,143.83687872307200,WiFi
Delhi,405,864,6049,76555,9,28,74,1800 MHz,939.931945521772,-105,5,5.21,288,1052,14.899154,94.865439,10.768061959654600,441.29619907699900,Data
Delhi,405,864,5769,75344,29,61,37,900 MHz,949.5890184730070,-73,6,23.8,183,363,35.769653,77.306641,0.0288048669336338,83.84635253188120,Data
Delhi,405,864,9607,23887,49,44,98,900 MHz,936.9069325437690,-110,7,17.24,171,1675,13.237685,91.605612,12.781553292547900,114.42558612663200,WiFi
Delhi,405,872,8940,77522,24,3,16,900 MHz,946.4934339427340,-73,2,24.79,362,1680,16.165679,93.946277,13.426962929266100,79.88915705232550,WiFi
Delhi,405,868,6927,88603,39,28,28,1800 MHz,943.8089232293490,-107,5,12.21,81,750,12.732179,71.141074,9.808763769693760,184.21583852792900,WiFi
